"","logFC","logCPM","LR","PValue","FDR"
"155060",1.97468409102664,2.25046723983174,101.118569039872,8.66388671986833e-24,1.95979825068022e-22
"90288",1.08783495975405,1.34035360540267,13.3255139485757,0.000261819139088723,0.000506325898555629
"AADAT",-2.71287984245121,3.6417563971169,224.266498032857,1.06118521644913e-50,2.13371921924084e-48
"AATK",1.2895688077876,1.37695793145067,21.4947581100095,3.54797183523682e-06,8.92665767443925e-06
"ABAT",-1.15086658211855,8.26467250115728,47.2658819812208,6.19817324105305e-12,3.33448361243868e-11
"ABCA3",1.4049106421397,2.7845120975358,33.6484331668369,6.60280416720996e-09,2.42119543892347e-08
"ABCA4",1.7825324550346,0.783011312215251,39.1995994266923,3.82618723943286e-10,1.65200455309483e-09
"ABCA8",-1.36736594962587,4.7603787568512,32.3913558558321,1.26045919220405e-08,4.45282277343534e-08
"ABCB5",7.72595683316906,1.30965155768384,34.4117574206954,4.46020789363189e-09,1.67150995796295e-08
"ABCC10",1.40506019072917,3.13645025865322,143.632393349237,4.27526646707211e-33,2.08394049305734e-31
"ABCC1",1.11266580782852,3.67570515565785,24.5324131736063,7.30702316316807e-07,2.01224604019753e-06
"ABCC4",1.96335892670339,3.66712366081839,53.0285311455973,3.28738475497365e-13,2.08551573609788e-12
"ABCC5",1.26809525272092,3.99325873564316,130.461129212419,3.24831261798819e-30,1.32467103579197e-28
"ABCC9",-1.33651288936853,5.08023245854485,48.5224140053805,3.26535382602104e-12,1.82025096961358e-11
"ABHD15",-1.03843215799756,4.09254851675973,51.8099860391879,6.11400592446328e-13,3.73943657661407e-12
"ABLIM2",1.61683235551873,1.71584650742676,44.4626960164089,2.59250271277842e-11,1.30137523484373e-10
"ABP1",-1.95093542936224,1.80575698820554,29.5629547792436,5.41296531615781e-08,1.73524133928292e-07
"ACAA1",-1.27216914112387,7.70659338258659,108.611224517277,1.97453330817291e-25,5.31325626439019e-24
"ACAA2",-1.06957218849517,8.58191321666665,61.8626964410747,3.68260261127184e-15,3.02742975601263e-14
"ACACB",-1.07627643149055,6.30445493113002,56.1606788588059,6.67838841455071e-14,4.64375740045392e-13
"ACAD11",-1.29783037529602,6.12881334314505,104.230360803985,1.80109448888668e-24,4.33850996931989e-23
"ACADL",-1.30680038899284,3.63376213243643,22.6352534613709,1.95857675866667e-06,5.08920805511479e-06
"ACADSB",-1.19526002261751,8.12476114505881,71.0182802359766,3.53930328678399e-17,3.71293432483854e-16
"ACADS",-1.64742344537551,6.73020692750181,188.072503039386,8.37670089206024e-43,8.36341371133491e-41
"ACAN",4.33154740386662,0.411727725716103,77.110188478405,1.61681102288915e-18,1.9785776144012e-17
"ACBD6",1.00501443140673,4.06895826836727,92.0004810564391,8.66554139718024e-22,1.58798788363264e-20
"ACBD7",2.31373121556056,-0.136944339645844,81.6478457440344,1.62628984084494e-19,2.24654561315956e-18
"ACCN2",3.8122144496259,1.00817754577239,80.5299897668287,2.8632625832475e-19,3.85953933125457e-18
"ACCN3",2.78651034624642,-0.126038376345843,82.4857048902088,1.06437133920876e-19,1.50184248320909e-18
"ACLY",1.21471771610856,6.49994476418069,107.615292598571,3.26357269117805e-25,8.54371462028654e-24
"ACOT12",-1.07235151302472,5.19108300865461,22.9080939573945,1.6993477879775e-06,4.44716529317115e-06
"ACOT2",-1.08826356162135,4.94990109852231,74.9123443933703,4.92083629116007e-18,5.71282654267237e-17
"ACOX2",-1.05860507883912,6.47810217843615,43.8332140824424,3.57584870203395e-11,1.76080141698454e-10
"ACPP",2.79567168547824,-0.733765667430398,19.1411349881051,1.21400036804516e-05,2.84064705482299e-05
"ACRC",1.24528770311813,-0.442891634229855,46.2535509826396,1.03898074464381e-11,5.45766481865327e-11
"ACSL1",-1.11464664586565,9.33448246252493,43.9249858681493,3.41205213569555e-11,1.6858798214493e-10
"ACSL4",2.73371685815577,8.61239076758165,62.5738993082404,2.56632096864951e-15,2.15252773251095e-14
"ACSL6",1.70355425804513,2.64996077502437,23.7046192980765,1.12312638411938e-06,3.02333593583046e-06
"ACSM1",1.41957312761631,5.20053796353559,13.4717317098803,0.000242184681751585,0.000471187694895538
"ACSM3",-1.82221025273809,5.26417529657511,91.9424430818599,8.92344779095625e-22,1.62906372849525e-20
"ACSM5",-1.71382676222067,6.21007766795118,58.5031387847924,2.02966879454324e-14,1.52088587673926e-13
"ACTG2",2.12249136093329,2.52251775720373,59.4904907257709,1.22886486614377e-14,9.43781255552434e-14
"ACTL8",8.28290771001874,0.45880333740355,36.462722760452,1.55614051644537e-09,6.18737881257336e-09
"ACTN2",5.23726821034345,3.28139392757606,62.6541577391298,2.46384277506253e-15,2.07137351071894e-14
"ACVR1C",-1.48176192321048,1.13386422452162,62.3341970703242,2.89847997161762e-15,2.41851841781604e-14
"ACYP1",1.73872244283927,0.991387481946297,115.215816852202,7.05823893603624e-27,2.2213505451521e-25
"ADAM11",2.63771047782656,-0.89046585381696,52.5211583670612,4.25637880069002e-13,2.66175360248766e-12
"ADAM12",2.65068198480104,1.83005260323602,47.0365506879175,6.96751394563046e-12,3.72621719212753e-11
"ADAM15",1.25377179488242,6.26150875593052,83.7068307487446,5.73866022661096e-20,8.45153449650528e-19
"ADAM23",5.30223505088987,0.889035097287122,54.3933297785249,1.64119001082262e-13,1.08243771237718e-12
"ADAM33",1.02556641139999,-0.473221240667194,10.6364783928833,0.00110878610394524,0.00196065670292112
"ADAM9",1.1426677537337,5.41127565643101,36.3685414185216,1.63318107082129e-09,6.4794635139161e-09
"ADAMDEC1",1.97770725539101,0.68231033298064,19.1737019656467,1.19346304664763e-05,2.79485029542507e-05
"ADAMTS13",-3.07811308966503,3.40111183080395,621.340276231409,3.82166362671022e-137,5.53262243238839e-133
"ADAMTS14",1.40553934240884,-0.188459131365912,27.2888028764777,1.75223168342637e-07,5.23679976898505e-07
"ADAMTS16",4.72788297819254,1.61009296841484,42.6690881099904,6.48287109588641e-11,3.09335942172536e-10
"ADAMTS1",-1.41371023542215,4.89212419957523,73.977314439028,7.90199438745745e-18,8.96529566984495e-17
"ADAMTS2",-1.1425144916598,2.14571184160716,23.0381393250618,1.58819260989475e-06,4.17358221336835e-06
"ADAMTS6",1.67572949424608,-0.525981079533143,44.0806769888102,3.15116361721542e-11,1.5633788789043e-10
"ADAMTS9",1.02337983070719,3.6202268956873,29.1249570299481,6.78572086673059e-08,2.14163682118288e-07
"ADAMTSL2",-1.61504807193912,4.70275576827423,57.2637893328974,3.81107694028665e-14,2.73268751186378e-13
"ADAT2",1.18090219842284,2.35334664406133,65.7209643667332,5.19503125344123e-16,4.75401184930902e-15
"ADCY6",1.1680779470506,4.6029049876508,115.461355519036,6.23625301295195e-27,1.97554124438743e-25
"ADCY8",3.87792208414409,0.248319467698124,10.3483658005193,0.00129589359387073,0.00226468512294382
"ADH1A",-1.17576213243145,9.2285712737781,33.1737447171774,8.4280872394685e-09,3.04804943706684e-08
"ADH1C",-1.03579602117103,9.1693332582069,14.7072815999104,0.000125560524631701,0.000254229330782257
"ADH4",-1.62204282247781,9.62896881822996,34.8990742407545,3.47245935112119e-09,1.32013639774636e-08
"ADH6",-1.0392102261754,8.0658697278714,32.2399330683136,1.36261246788069e-08,4.78335128455596e-08
"ADM2",1.99387927212624,3.91157481911488,71.4374892456098,2.86182637509036e-17,3.0263448087789e-16
"ADM",-1.35515221738463,3.9347607037862,67.792244984947,1.81662587824307e-16,1.76150655320328e-15
"ADORA1",1.38383470396701,1.22072371523903,14.8301803220518,0.000117637788665403,0.000238989933554455
"ADORA3",-1.17536262990457,1.75721104102178,43.5438922626552,4.14556045850498e-11,2.02549033944572e-10
"ADRA1A",-3.21245201881729,2.44797861397841,144.863468699821,2.300436125254e-33,1.152367259007e-31
"ADRA1B",-1.73999109237056,2.4442731942294,84.5624498215477,3.72268668216013e-20,5.59640032166482e-19
"ADRA1D",2.56780430397155,0.0820253539885241,17.5323066104395,2.8246704154766e-05,6.28345937382526e-05
"ADRA2B",-2.3595078521736,1.2409215051995,252.496020476439,7.41814462342582e-57,3.97749924864206e-54
"ADRA2C",3.25890211783479,2.34671757192923,69.1898723204916,8.94260764806893e-17,8.97795637455575e-16
