V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
10003,1879,10128,10038,10171,10313,100289635,10227,10312,10169,10521,0.9906,0,0,0,0,0,0.000369730398498771
100033416,83543,147685,9139,1690,10202,1879,1958,1870,144455,3297,1875,1869,4603,0.9901,0,0,0.000518681411935069
10004,21,10257,10057,116236,30,5452,6257,0.9918,0,0,0,0,0,0,0,0,0.000256956574670193
100049587,21,30,36,84320,6296,6257,6935,5885,0.9922,0,0,0,0,0,0,0,0.000290995226247716
100129842,21,4363,10257,10057,116236,5452,5460,1869,4609,7391,0.9905,0,0,0,0,0,0.000364425078549224
100132464,4609,10061,10067,10055,10221,10236,10038,1020,0.9915,0,0,0,0,0,0,0,0.000378188594416315
100170229,176,11093,134,151,10551,6925,4208,6938,7391,10664,0.9965,0,0,0,0,0,0.000347041994214125
10020,10057,10449,6296,72,112,3170,7391,23462,6772,10664,5885,0.9967,0,0,0,0,0.000270784420764262
10024,4363,30,10449,32,36,6257,51085,6688,4609,4149,3172,6720,4800,0.9894,0,0,0.000455220104505783
100270804,21,30,36,84320,6296,6257,5885,23462,2186,10009,1870,144455,6721,1869,4149,0.9951,0.000499611290998236
10036,55723,641,8208,10926,1958,1012,10249,10062,10044,10253,10092,0.9964,0,0,0,0,0.00043181101872834
10051,1869,1870,1875,144455,4602,10052,10092,10085,10253,1029,10124,0.9961,0,0,0,0,0.000471267563423054
10052,1869,1029,10253,1021,10257,10085,10196,10220,10051,10092,0.9993,0,0,0,0,0,0.000421497420601974
10053,18,21,36,134526,2182,6257,4149,1958,4609,3172,7391,5465,6256,10009,140690,0.9885,0.000502485120520406
10057,2099,2625,7020,10164,10174,1020,10196,10092,10139,10059,10099,1021,10121,0.9903,0,0,0.000471972616718391
10060,340273,10965,2182,23305,88,6257,9611,1958,4609,7391,5087,196,4800,8850,2908,0.9855,0.000464690311556037
10067,4609,4783,10174,10061,10055,10062,10058,10197,10213,10131,10111,0.9903,0,0,0,0,0.000412638053969149
10071,1958,1012,10249,10262,10092,10243,10253,10036,0.995,0,0,0,0,0,0,0,0.000324812165691814
10083,9625,21,10257,10057,116236,5452,5460,1869,7391,0.9926,0,0,0,0,0,0,0.000287073366070987
1009,53335,1050,4773,4776,5460,1012,1033,10449,0.9976,0,0,0,0,0,0,0,0.000238191216089126
10092,1869,1958,7020,1012,10052,10085,10051,0.9986,0,0,0,0,0,0,0,0,0.000314067191842779
10098,30,10449,6296,140,79841,3174,7391,5885,5087,2353,3170,23462,6772,0.9939,0,0,0.000285353412730831
1010,8038,11174,133,84913,440603,5452,6257,2353,5460,4824,4205,144455,1870,1869,2308,0.9923,0.000474442078327879
10112,2353,2308,10164,10332,10486,10216,1020,10163,10371,10000,10300,10101,0.9963,0,0,0,0.000358114145897956
1012,367,1050,1958,10062,10013,10036,10130,10092,10208,10221,10016,10107,10156,0.9956,0,0,0.000525438119584027
1014,1869,1870,1875,144455,2308,10052,10085,10092,10253,1029,10051,1000,0.9986,0,0,0,0.000441078209321914
10144,21,4363,10257,10057,116236,5452,5460,1958,4609,7391,6775,1869,2625,0.9898,0,0,0.000503272848589259
10148,53335,1869,1879,1958,8061,1012,10092,10052,10085,10111,10054,0.9949,0,0,0,0,0.000463536389546956
1015,2353,7020,10164,10057,10112,10092,10036,10059,10165,10130,10163,1017,0.9901,0,0,0,0.000419130801929758
10154,1050,1649,2308,1012,10221,10449,1031,1033,10471,10112,10113,10335,0.9978,0,0,0,0.000404344204481448
10158,1869,10052,10085,1029,10196,10253,1031,10092,10309,10051,0.9996,0,0,0,0,0,0.000423016109323469
10164,60468,2354,8061,2353,2625,10332,10174,10402,10057,10293,10112,10226,0.9938,0,0,0,0.0004226321953734
10171,53335,1879,4609,10061,10067,10197,10038,10055,10036,0.9922,0,0,0,0,0,0,0.000332234942933723
10202,467,1869,1958,23764,4603,1012,10052,10085,10092,10062,10013,10051,0.9973,0,0,0,0.000503587158597762
10218,30,10965,2180,2182,23305,6257,1869,1870,1958,6688,7391,4211,196,0.9863,0,0,0.000453501501070222
10221,60468,1050,1649,1958,2354,1012,10164,10092,10163,10134,10062,0.9933,0,0,0,0,0.000485598621455984
10228,21,10351,4363,10257,30,6257,6688,0.985,0,0,0,0,0,0,0,0,0.000265118327987056
10232,7020,10221,10057,10196,10092,10130,10059,1020,10016,10139,10128,0.9845,0,0,0,0,0.000409279661133517
10243,1958,4609,1012,10067,10061,10038,10092,100132464,0.9963,0,0,0,0,0,0,0,0.000333662845876183
10249,1958,1012,10253,1020,10123,10226,0.9953,0,0,0,0,0,0,0,0,0,0.000289173071884195
10253,1869,1870,1875,144455,1958,1012,10052,10085,0.9994,0,0,0,0,0,0,0,0.000330992026293899
10257,1869,4609,7020,10052,10061,10067,10092,10085,10016,0.9977,0,0,0,0,0,0,0.000372517910192258
10262,1958,1959,1960,7020,1012,10057,10128,10059,0.9963,0,0,0,0,0,0,0,0.000333819662531607
10268,21,10257,10057,116236,30,5452,6257,1958,0.9913,0,0,0,0,0,0,0,0.000310928767840588
1029,1869,1958,4171,4174,4609,1012,10052,10061,10085,10067,10092,0.9982,0,0,0,0,0.000475730020496743
10290,1050,1649,2625,1012,10164,10253,0.996,0,0,0,0,0,0,0,0,0,0.000324346825651732
10293,467,2625,10164,10174,10521,10131,0.9909,0,0,0,0,0,0,0,0,0,0.00030067052551318
1030,1869,2308,4609,10401,10052,10085,10038,10124,10051,10055,100132464,0.9982,0,0,0,0,0.000430733514793181
10309,1050,1869,4609,1012,10052,10061,10067,10092,10131,10085,10055,0.9987,0,0,0,0,0.00042085325949789
1031,1869,1870,1958,1959,1960,1012,10052,10085,0.9986,0,0,0,0,0,0,0,0.000378310089547345
10316,21,10257,10057,116236,176,4609,5452,1488,7391,5885,5460,1869,140690,7157,6775,0.993,0.000540205374705263
1033,1050,4602,1012,10335,10449,10051,0.9941,0,0,0,0,0,0,0,0,0,0.000225782063796177
10331,21,30,36,84320,6296,6257,3172,2186,5885,144455,4149,23462,0.9928,0,0,0,0.000391017825396541
10332,2354,2353,3726,3725,10402,10036,10302,10133,10120,10286,100113407,10216,0.9912,0,0,0,0.000536745490588725
10335,1050,1649,7020,1012,10196,10092,0.9985,0,0,0,0,0,0,0,0,0,0.000285001025561086
10345,340273,10057,10060,30,10449,6688,4149,7391,2625,0.9829,0,0,0,0,0,0,0.000272531656858726
10351,32,84320,47,9719,54443,4149,4609,6935,2186,6945,0.993,0,0,0,0,0,0.000366261183322512
10361,21,4363,84448,30,10449,1958,6257,7391,4609,1050,7157,140690,6688,6774,10664,0.9877,0.0006409850911382
10376,1869,1958,2099,4609,1012,10052,10085,10061,0.9973,0,0,0,0,0,0,0,0.000388613674275284
10388,18,21,10057,116236,84129,5452,3172,0.9905,0,0,0,0,0,0,0,0,0.000179898421899223
10389,1869,4609,10052,10061,10092,10067,10085,100132464,10051,10096,0.9973,0,0,0,0,0,0.000371442985002497
10395,5460,11178,1756,157313,1760,0.9922,0,0,0,0,0,0,0,0,0,0,0.000183337467661617
